,,,Python_Cognitive,JavaScript_Cognitive,Python_Cyclomatic,JavaScript_Cyclomatic
,Number,Question,Python,JavaScript,Python,JavaScript
,1,Two Sum,3,3,3,3
,2,Pascal's Triangle,8,7,4,5
,3,Pascal's Triangle II,5,3,5,3
,4,Counting Bits,1,1,2,6
,5,Unique Substrings in Wraparound String,5,6,4,5
,6,Ugly Number II,7,7,5,5
,7,Super Ugly Number,6,8,4,5
,8,Rotate Function,1,2,2,3
,9,Partition Equal Subset Sum,5,4,5,6
,10,Non-overlapping Intervals,4,4,3,4
,11,Longest Increasing Subsequence,6,6,4,4
,12,Largest Divisible Subset,10,14,7,9
,13,Integer Replacement,3,5,3,5
,14,Integer Break,5,4,6,5
,15,Construct Binary Tree from Inorder and Postorder Traversal,1,3,2,5
,16,Combination Sum IV,6,6,4,4
,17,Coin Change,4,7,4,5
,18,Count Numbers with Unique Digits,9,3,10,4
,19,Can I Win,7,15,8,9
,20,Best Time to Buy and Sell Stock with Cooldown,2,1,3,3
,21,Arithmetic Slices,4,3,4,3
,22,Russian Doll Envelopes,4,7,3,6
,23,Poor Pigs,1,1,2,2
,24,Distinct Subsequences,8,6,5,4
,25,Burst Balloons,6,7,4,6
,26,Split Array Largest Sum,9,10,6,6
,27,Number of Digit One,4,1,4,3
,28,Max Sum of Rectangle No Larger Than K,7,23,6,8
,29,Longest Increasing Path in a Matrix,19,11,12,14
,30,Frog Jump,6,15,4,10
,31,Count The Repetitions,26,8,12,5
,32,Concatenated Words,14,9,10,9
,33,Arithmetic Slices II - Subsequence,3,3,3,6